"","ID","exp_cond","big_Or01","big_N02","big_Nr03","big_O04","big_E05","big_E06","big_C07","big_C08","big_N09","big_A10","big_Ar11","big_Nr12","big_Er13","big_C14","big_Or15","big_E16","big_O17","big_E18","big_A19","big_Cr20","big_Cr21","big_N22","big_Or23","big_A24","big_Or25","big_C26","big_Er27","big_Nr28","big_Cr29","big_Ar30","big_C31","big_Er32","big_N33","big_Cr34","big_Or35","big_N36","big_Ar37","big_A38","big_Cr39","big_E40","big_Er41","vas_ar","age","gender","edu","occ","income","inc_cur","inc_normed","fav_device","tech_interest","operating_sys","os_use","os_pref","IP","session_length","page_trail","pages_visited","os_auto","fbclid","quit_early","rt_1","rt_2","rt_3","rt_4","rt_5","rt_6","seriousness","so","validation_kicked_in_2","vi_1","vi_2","vi_3","vi_4","vi_5","vi_6","z0_browser_screen_h","z0_browser_screen_w","start","end","plausicheck","true_trail","do_idx"
"1",87152,"89LIK",4,3,3,3,1,4,5,5,2,5,5,3,2,5,4,2,3,3,4,5,4,2,4,5,3,4,2,2,5,4,5,1,2,5,3,2,5,4,5,3,3,64,55,"woman","technical school","employed",6000,"euro",6000,"iPAD",82,"mac","mac","mac","104.28.45.21",442,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Safari/605.1.15",NA,NA,54114,NA,61562,67975,60733,95748,"participate","ig",0,1,NA,1,1,1,1,1194,834,2024-03-21 14:50:43,2024-03-21 14:58:05,0,7,0
"2",27892,"74VAS",3.5,3.5,3.4,4.3,1.6,4.5,4,3.7,2.3,4.7,3,3,1.8,3.6,4.3,3.5,2.4,3,3.8,3.6,3.7,3.8,4,4.1,4.3,3.9,2.2,2,2.1,4,2.6,3.2,2.5,3.2,4.4,3,4.3,4.2,3.5,3.3,3,57,27,"woman","college graduate","employed",3800,"euro",3800,"Iphone",23,"iphone","mac","mac","176.7.143.50",271,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Mobile/15E148 Safari/604.1",NA,NA,22706,NA,59211,44671,41411,50925,"participate","ig",0,1,NA,1,1,1,1,812,375,2024-03-21 15:23:44,2024-03-21 15:28:15,0,7,0
"3",18142,"89LIK",5,3,4,4,2,4,3,3,1,5,4,3,4,4,5,4,5,4,4,5,4,2,5,4,2,5,5,1,3,2,1,5,1,3,5,3,4,4,5,5,5,81,26,"woman","college graduate","employed",1200,"euro",1200,"Android Smartphone",62,"android","win","win","77.23.254.51",248,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Linux; Android 9; CLT-L29 Build/HUAWEICLT-L29; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/122.0.6261.119 Mobile Safari/537.36 Instagram 322.0.0.37.95 Android (28/9; 480dpi; 1080x2037; HUAWEI; CLT-L29; HWCLT; kirin970; de_DE; 575346435)","PAAaa2dsoVnym2Fqn7DeD8w_w5CACim7lQ8zifV1Q-Cy_16i6AjGdtlosJ9-4",NA,14294,NA,38438,49750,39502,69631,"participate","ig",0,1,NA,1,1,1,1,747,360,2024-03-21 17:45:49,2024-03-21 17:49:57,0,7,0
"4",41915,"66VASnt",4.6,4,4.4,4,4,3.8,1.6,3.7,4.8,5,4.9,4.6,1.1,3.5,2,2.2,4.9,3.4,2.2,2.5,1.5,4,4.4,4.1,3.9,3.6,1.8,3.3,1.3,3,1,4.5,4.1,1.9,4.2,3.9,4.6,2.3,3.9,1.9,4,20,23,"woman","high school","employed",6250,"dollar",5750,"Custom Build Windows Desktop",100,"iphone","win","win","207.174.167.35",265,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",NA,NA,41992,45453,52121,29034,38722,53544,"participate",NA,0,1,1,1,1,1,1,852,393,2024-03-21 18:00:56,2024-03-21 18:05:21,0,7,0
"5",27092,"66VASnt",5,4,3.7,5,3.5,3.9,1.7,1.4,2.4,4.5,4.3,3.3,3.1,3,5,4,5,4.2,3.3,5,2,3.7,5,4.6,5,4.7,2.9,2.9,3.6,4.7,1,4.2,2.2,5,5,1.8,5,4.3,3,3,5,54,30,"nonbinary","college","self-employed",1400,"dollar",1288,"ipad",46,"iphone","mac","other","198.84.227.247",353,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.6 Mobile/15E148 Safari/604.1",NA,NA,27002,102025,47402,46036,33644,91750,"participate","jk",0,1,1,1,1,1,1,667,375,2024-03-22 03:41:13,2024-03-22 03:47:06,0,7,0
"6",79172,"89LIK",4,4,3,5,1,4,2,3,3,5,4,3,1,3,5,2,3,4,4,3,2,3,4,5,3,5,1,2,2,4,4,2,3,3,5,4,5,4,4,2,2,51,19,"woman","high school","student",600,"dollar",552,"ipad ",19,"mac","mac","mac","71.58.196.226",233,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",NA,NA,16903,NA,45315,37531,38108,54273,"participate","jk",0,1,NA,1,1,1,1,900,1440,2024-03-22 06:18:51,2024-03-22 06:22:44,0,7,0
"7",52409,"66VASnt",5,2.3,1.8,5,1.3,3.2,3.5,2.3,2.9,4.3,5,4.3,1.6,1.8,5,3.8,5,3.6,4.4,1.5,2.1,1,5,5,2.9,4.7,1.8,2.4,1.7,3.5,1.5,2.5,1.6,4,5,3.4,4.2,4.7,2.8,2.9,2.7,53,38,"man","college graduate","employed",2500,"euro",2500,"Android Smartphone I guess",75,"android","win","linux","92.72.46.246",665,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html - thank.html",8,"Mozilla/5.0 (Android 12; Mobile; rv:124.0) Gecko/124.0 Firefox/124.0",NA,NA,186078,60026,42923,38577,115848,168937,"participate","ig",0,1,1,1,1,1,1,800,360,2024-03-22 11:31:41,2024-03-22 11:42:46,0,7,0
"8",70794,"89LIK",5,4,5,1,1,1,2,1,5,5,4,2,4,1,5,1,1,2,2,4,2,5,4,4,1,3,1,3,1,4,1,3,2,3,2,3,4,3,3,2,3,9,17,"woman","primary","student",NA,"dollar",NA,"smartphone",18,"linux","other","other","134.53.88.193",2331,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",NA,NA,65013,NA,39896,95995,39825,2014505,"participate","jk",0,1,NA,1,1,1,1,852,1517,2024-03-22 16:02:56,2024-03-22 16:41:47,0,7,0
"9",92491,"74VAS",5,5,1,3.7,3.2,2.7,3,2.8,5,5,5,1.7,1,3.3,3.3,3.3,1,2,2.6,2.6,1.9,5,4.4,5,4.5,4.3,2.4,2.8,2.4,5,2.6,3.2,4.2,2.6,3.9,4.6,5,3.5,4.4,3.2,3.4,7,20,"woman","high school","student",1000,"dollar",920,"Apple iPhone",61,"mac","mac","mac","73.111.160.214",1374,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",NA,NA,1115777,NA,80329,39475,44569,59956,"participate","jk",0,1,NA,1,1,1,1,1050,1680,2024-03-22 19:12:03,2024-03-22 19:34:57,0,7,0
"10",15868,"74VAS",3,3,3,3,3,3,3,3,3,3,3,3,3,2.9,3,3,3,3.4,3,3,3,3,3,3,3,3,3.1,3,3,2.7,3,3,3,3,3,3,3.2,3.4,3,3,2.8,50,19,"woman","high school","student",600,"dollar",552,"ipad ",20,"mac","mac","mac","71.58.196.226",97,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",NA,NA,5860,NA,15550,12432,9010,36779,"justLook","jk",0,1,NA,1,1,1,1,900,1440,2024-03-22 22:33:49,2024-03-22 22:35:26,0,7,0
