"ID","exp_cond","big_Or01","big_N02","big_Nr03","big_O04","big_E05","big_E06","big_C07","big_C08","big_N09","big_A10","big_Ar11","big_Nr12","big_Er13","big_C14","big_Or15","big_E16","big_O17","big_E18","big_A19","big_Cr20","big_Cr21","big_N22","big_Or23","big_A24","big_Or25","big_C26","big_Er27","big_Nr28","big_Cr29","big_Ar30","big_C31","big_Er32","big_N33","big_Cr34","big_Or35","big_N36","big_Ar37","big_A38","big_Cr39","big_E40","big_Er41","vas_ar","age","gender","edu","occ","income","inc_cur","inc_normed","fav_device","tech_interest","operating_sys","os_use","os_pref","session_length","page_trail","pages_visited","os_auto","quit_early","rt_1","rt_2","rt_3","rt_4","rt_5","rt_6","seriousness","so","z0_browser_screen_h","z0_browser_screen_w","start","end","true_trail","big_O","big_C","big_E","big_A","big_N"
87152,"89LIK",4,3,3,3,1,4,5,5,2,5,5,3,2,5,4,2,3,3,4,5,4,2,4,5,3,4,2,2,5,4,5,1,2,5,3,2,5,4,5,3,3,64,55,"woman","technical school","employed",6000,"euro",6000,"iPAD",82,"mac","mac","mac",442,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Safari/605.1.15",NA,54114,NA,61562,67975,60733,95748,"participate","ig",1194,834,2024-03-21 14:50:43,2024-03-21 14:58:05,7,3.42857142857143,4.8,2.33333333333333,4.57142857142857,2.375
27892,"74VAS",3.5,3.5,3.4,4.3,1.6,4.5,4,3.7,2.3,4.7,3,3,1.8,3.6,4.3,3.5,2.4,3,3.8,3.6,3.7,3.8,4,4.1,4.3,3.9,2.2,2,2.1,4,2.6,3.2,2.5,3.2,4.4,3,4.3,4.2,3.5,3.3,3,57,27,"woman","college graduate","employed",3800,"euro",3800,"Iphone",23,"iphone","mac","mac",271,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Mobile/15E148 Safari/604.1",NA,22706,NA,59211,44671,41411,50925,"participate","ig",812,375,2024-03-21 15:23:44,2024-03-21 15:28:15,7,3.88571428571429,3.39,2.9,4.01428571428571,2.9375
18142,"89LIK",5,3,4,4,2,4,3,3,1,5,4,3,4,4,5,4,5,4,4,5,4,2,5,4,2,5,5,1,3,2,1,5,1,3,5,3,4,4,5,5,5,81,26,"woman","college graduate","employed",1200,"euro",1200,"Android Smartphone",62,"android","win","win",248,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Linux; Android 9; CLT-L29 Build/HUAWEICLT-L29; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/122.0.6261.119 Mobile Safari/537.36 Instagram 322.0.0.37.95 Android (28/9; 480dpi; 1080x2037; HUAWEI; CLT-L29; HWCLT; kirin970; de_DE; 575346435)",NA,14294,NA,38438,49750,39502,69631,"participate","ig",747,360,2024-03-21 17:45:49,2024-03-21 17:49:57,7,4.42857142857143,3.6,4.22222222222222,3.85714285714286,2.25
41915,"66VASnt",4.6,4,4.4,4,4,3.8,1.6,3.7,4.8,5,4.9,4.6,1.1,3.5,2,2.2,4.9,3.4,2.2,2.5,1.5,4,4.4,4.1,3.9,3.6,1.8,3.3,1.3,3,1,4.5,4.1,1.9,4.2,3.9,4.6,2.3,3.9,1.9,4,20,23,"woman","high school","employed",6250,"dollar",5750,"Custom Build Windows Desktop",100,"iphone","win","win",265,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",NA,41992,45453,52121,29034,38722,53544,"participate",NA,852,393,2024-03-21 18:00:56,2024-03-21 18:05:21,7,4,2.45,2.96666666666667,3.72857142857143,4.1375
27092,"66VASnt",5,4,3.7,5,3.5,3.9,1.7,1.4,2.4,4.5,4.3,3.3,3.1,3,5,4,5,4.2,3.3,5,2,3.7,5,4.6,5,4.7,2.9,2.9,3.6,4.7,1,4.2,2.2,5,5,1.8,5,4.3,3,3,5,54,30,"nonbinary","college","self-employed",1400,"dollar",1288,"ipad",46,"iphone","mac","other",353,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.6 Mobile/15E148 Safari/604.1",NA,27002,102025,47402,46036,33644,91750,"participate","jk",667,375,2024-03-22 03:41:13,2024-03-22 03:47:06,7,5,3.04,3.75555555555556,4.38571428571429,3
79172,"89LIK",4,4,3,5,1,4,2,3,3,5,4,3,1,3,5,2,3,4,4,3,2,3,4,5,3,5,1,2,2,4,4,2,3,3,5,4,5,4,4,2,2,51,19,"woman","high school","student",600,"dollar",552,"ipad ",19,"mac","mac","mac",233,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",NA,16903,NA,45315,37531,38108,54273,"participate","jk",900,1440,2024-03-22 06:18:51,2024-03-22 06:22:44,7,4.14285714285714,3.1,2.11111111111111,4.42857142857143,3.125
52409,"66VASnt",5,2.3,1.8,5,1.3,3.2,3.5,2.3,2.9,4.3,5,4.3,1.6,1.8,5,3.8,5,3.6,4.4,1.5,2.1,1,5,5,2.9,4.7,1.8,2.4,1.7,3.5,1.5,2.5,1.6,4,5,3.4,4.2,4.7,2.8,2.9,2.7,53,38,"man","college graduate","employed",2500,"euro",2500,"Android Smartphone I guess",75,"android","win","linux",665,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html - thank.html",8,"Mozilla/5.0 (Android 12; Mobile; rv:124.0) Gecko/124.0 Firefox/124.0",NA,186078,60026,42923,38577,115848,168937,"participate","ig",800,360,2024-03-22 11:31:41,2024-03-22 11:42:46,7,4.7,2.59,2.6,4.44285714285714,2.4625
92491,"74VAS",5,5,1,3.7,3.2,2.7,3,2.8,5,5,5,1.7,1,3.3,3.3,3.3,1,2,2.6,2.6,1.9,5,4.4,5,4.5,4.3,2.4,2.8,2.4,5,2.6,3.2,4.2,2.6,3.9,4.6,5,3.5,4.4,3.2,3.4,7,20,"woman","high school","student",1000,"dollar",920,"Apple iPhone",61,"mac","mac","mac",1374,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",NA,1115777,NA,80329,39475,44569,59956,"participate","jk",1050,1680,2024-03-22 19:12:03,2024-03-22 19:34:57,7,3.68571428571429,2.99,2.71111111111111,4.44285714285714,3.6625
95552,"74VAS",4,1.5,1.9,5,3.2,3.7,4,3.9,1.5,4.7,4.6,3.6,1.9,4.2,3.9,3.5,2,3.4,4,4.6,4.1,1.3,4,4.1,4.5,4.6,2.2,2,4,3.5,3.5,3.4,1.9,4.8,4.8,2.3,4.9,3.7,4.7,3.9,3.6,60,29,"man","high school","employed",5200,"dollar",4784,"Xbox",64,"win","win","win",347,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0",NA,22606,NA,69482,52055,36848,123442,"participate","jk",720,1280,2024-03-23 01:43:18,2024-03-23 01:49:05,7,4.02857142857143,4.24,3.2,4.21428571428571,2
18788,"89LIK",3,5,1,3,4,4,5,5,2,5,5,2,2,5,3,5,3,4,5,5,5,4,1,5,3,5,4,2,5,5,5,5,4,4,3,4,5,4,5,2,5,42,35,"woman","technical school","employed",1300,"dollar",1196,"Google Pixel",54,"win","other","other",290,"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html",7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",NA,23201,NA,50101,44699,34241,92968,"participate","jk",720,1280,2024-03-23 01:43:40,2024-03-23 01:48:30,7,2.71428571428571,4.9,3.88888888888889,4.85714285714286,3
